#    L    TT             EE             BB             TE          
     2   0.105104E+04   0.439098E-01   0.172222E-05   0.316204E+01
     3   0.993344E+03   0.686187E-01   0.344494E-05   0.383270E+01
     4   0.936203E+03   0.737292E-01   0.574271E-05   0.385325E+01
     5   0.891869E+03   0.622118E-01   0.861617E-05   0.350720E+01
     6   0.860008E+03   0.435407E-01   0.120662E-04   0.300485E+01
     7   0.838424E+03   0.263482E-01   0.160937E-04   0.247616E+01
     8   0.824442E+03   0.148929E-01   0.206998E-04   0.199714E+01
     9   0.816388E+03   0.921742E-02   0.258859E-04   0.160253E+01
    10   0.812923E+03   0.718701E-02   0.316532E-04   0.130790E+01
    11   0.812609E+03   0.654074E-02   0.380033E-04   0.111554E+01
    12   0.815904E+03   0.598790E-02   0.449378E-04   0.101836E+01
    13   0.820729E+03   0.525064E-02   0.524583E-04   0.994162E+00
    14   0.827016E+03   0.457915E-02   0.605666E-04   0.101466E+01
    15   0.833637E+03   0.424410E-02   0.692645E-04   0.106148E+01
    16   0.842298E+03   0.429071E-02   0.785540E-04   0.112523E+01
    17   0.852790E+03   0.456971E-02   0.884369E-04   0.119394E+01
    18   0.863925E+03   0.492513E-02   0.989151E-04   0.125836E+01
    19   0.876455E+03   0.532859E-02   0.109991E-03   0.131798E+01
    20   0.888772E+03   0.578459E-02   0.121665E-03   0.136627E+01
    21   0.901562E+03   0.638205E-02   0.133941E-03   0.141076E+01
    22   0.914842E+03   0.722228E-02   0.146820E-03   0.145600E+01
    23   0.928210E+03   0.829968E-02   0.160303E-03   0.150418E+01
    24   0.941977E+03   0.959087E-02   0.174393E-03   0.155645E+01
    25   0.956272E+03   0.110777E-01   0.189091E-03   0.160790E+01
    26   0.970603E+03   0.127501E-01   0.204398E-03   0.166360E+01
    27   0.985375E+03   0.146011E-01   0.220317E-03   0.172179E+01
    28   0.100042E+04   0.166091E-01   0.236848E-03   0.177439E+01
    29   0.101566E+04   0.187902E-01   0.253993E-03   0.182426E+01
    30   0.103130E+04   0.211613E-01   0.271753E-03   0.186255E+01
    31   0.104674E+04   0.236977E-01   0.290128E-03   0.189666E+01
    32   0.106280E+04   0.264026E-01   0.309120E-03   0.191870E+01
    33   0.107894E+04   0.292661E-01   0.328730E-03   0.192776E+01
    34   0.109513E+04   0.323482E-01   0.348957E-03   0.192693E+01
    35   0.111195E+04   0.356639E-01   0.369803E-03   0.191117E+01
    36   0.112850E+04   0.392373E-01   0.391267E-03   0.189407E+01
    37   0.114529E+04   0.430624E-01   0.413350E-03   0.186774E+01
    38   0.116243E+04   0.471020E-01   0.436051E-03   0.183162E+01
    39   0.117982E+04   0.513712E-01   0.459371E-03   0.178642E+01
    40   0.119739E+04   0.559010E-01   0.483310E-03   0.173209E+01
    41   0.121504E+04   0.607156E-01   0.507865E-03   0.166866E+01
    42   0.123278E+04   0.658124E-01   0.533039E-03   0.159630E+01
    43   0.125063E+04   0.711821E-01   0.558828E-03   0.151479E+01
    44   0.126865E+04   0.768128E-01   0.585234E-03   0.142233E+01
    45   0.128689E+04   0.826903E-01   0.612254E-03   0.131679E+01
    46   0.130533E+04   0.888033E-01   0.639888E-03   0.119693E+01
    47   0.132395E+04   0.951655E-01   0.668136E-03   0.106301E+01
    48   0.134273E+04   0.101790E+00   0.696995E-03   0.915680E+00
    49   0.136164E+04   0.108689E+00   0.726466E-03   0.755663E+00
    50   0.138075E+04   0.115887E+00   0.756546E-03   0.583814E+00
    51   0.140011E+04   0.123402E+00   0.787235E-03   0.400947E+00
    52   0.141968E+04   0.131230E+00   0.818532E-03   0.207479E+00
    53   0.143936E+04   0.139360E+00   0.850435E-03   0.352055E-02
    54   0.145915E+04   0.147780E+00   0.882944E-03  -0.211676E+00
    55   0.147903E+04   0.156479E+00   0.916057E-03  -0.439230E+00
    56   0.149912E+04   0.165445E+00   0.949774E-03  -0.680704E+00
    57   0.151951E+04   0.174678E+00   0.984093E-03  -0.936876E+00
    58   0.154017E+04   0.184184E+00   0.101901E-02  -0.120765E+01
    59   0.156102E+04   0.193972E+00   0.105454E-02  -0.149264E+01
    60   0.158203E+04   0.204040E+00   0.109066E-02  -0.179104E+01
    61   0.160321E+04   0.214389E+00   0.112738E-02  -0.210212E+01
    62   0.162457E+04   0.225013E+00   0.116471E-02  -0.242581E+01
