#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.105108E+04   0.439080E-01   0.000000E+00   0.316239E+01   0.517560E-07   0.306948E-02  -0.147932E-04
     3   0.993366E+03   0.686153E-01   0.000000E+00   0.383302E+01   0.629637E-07   0.308144E-02  -0.176674E-04
     4   0.936211E+03   0.737235E-01   0.000000E+00   0.385346E+01   0.725368E-07   0.301699E-02  -0.173107E-04
     5   0.891865E+03   0.622032E-01   0.000000E+00   0.350732E+01   0.808486E-07   0.292275E-02  -0.147183E-04
     6   0.859993E+03   0.435286E-01   0.000000E+00   0.300491E+01   0.881084E-07   0.281811E-02  -0.108023E-04
     7   0.838398E+03   0.263321E-01   0.000000E+00   0.247620E+01   0.945052E-07   0.271306E-02  -0.641909E-05
     8   0.824406E+03   0.148722E-01   0.000000E+00   0.199715E+01   0.100172E-06   0.260833E-02  -0.232740E-05
     9   0.816341E+03   0.919154E-02   0.000000E+00   0.160254E+01   0.105221E-06   0.250367E-02   0.891622E-06
    10   0.812865E+03   0.715535E-02   0.000000E+00   0.130791E+01   0.109722E-06   0.240153E-02   0.295075E-05
    11   0.812539E+03   0.650275E-02   0.000000E+00   0.111556E+01   0.113774E-06   0.230711E-02   0.386296E-05
    12   0.815821E+03   0.594298E-02   0.000000E+00   0.101839E+01   0.117377E-06   0.222030E-02   0.379331E-05
    13   0.820633E+03   0.519819E-02   0.000000E+00   0.994192E+00   0.120638E-06   0.214446E-02   0.294824E-05
    14   0.826905E+03   0.451860E-02   0.000000E+00   0.101469E+01   0.123546E-06   0.207260E-02   0.158660E-05
    15   0.833511E+03   0.417486E-02   0.000000E+00   0.106152E+01   0.126175E-06   0.200495E-02   0.725561E-07
    16   0.842156E+03   0.421218E-02   0.000000E+00   0.112529E+01   0.128530E-06   0.193823E-02  -0.118270E-05
    17   0.852631E+03   0.448130E-02   0.000000E+00   0.119402E+01   0.130639E-06   0.187352E-02  -0.199900E-05
    18   0.863748E+03   0.482625E-02   0.000000E+00   0.125845E+01   0.132538E-06   0.181285E-02  -0.231036E-05
    19   0.876260E+03   0.521864E-02   0.000000E+00   0.131809E+01   0.134237E-06   0.175573E-02  -0.225252E-05
    20   0.888557E+03   0.566301E-02   0.000000E+00   0.136640E+01   0.135743E-06   0.170122E-02  -0.198047E-05
    21   0.901328E+03   0.624822E-02   0.000000E+00   0.141091E+01   0.137079E-06   0.164884E-02  -0.153590E-05
    22   0.914587E+03   0.707559E-02   0.000000E+00   0.145619E+01   0.138267E-06   0.159839E-02  -0.958134E-06
    23   0.927934E+03   0.813953E-02   0.000000E+00   0.150441E+01   0.139317E-06   0.155018E-02  -0.389460E-06
    24   0.941679E+03   0.941671E-02   0.000000E+00   0.155671E+01   0.140235E-06   0.150457E-02   0.165347E-07
    25   0.955952E+03   0.108889E-01   0.000000E+00   0.160819E+01   0.141033E-06   0.146155E-02   0.159346E-06
    26   0.970260E+03   0.125460E-01   0.000000E+00   0.166394E+01   0.141723E-06   0.142093E-02  -0.215484E-08
    27   0.985008E+03   0.143812E-01   0.000000E+00   0.172218E+01   0.142313E-06   0.138222E-02  -0.326170E-06
    28   0.100003E+04   0.163728E-01   0.000000E+00   0.177484E+01   0.142812E-06   0.134502E-02  -0.649945E-06
    29   0.101524E+04   0.185369E-01   0.000000E+00   0.182476E+01   0.143219E-06   0.130946E-02  -0.905132E-06
