#    L    TT             EE             TE             PP             TP          
     2   0.105103E+04   0.439080E-01   0.316204E+01   0.107362E+07   0.286137E+05
     3   0.993337E+03   0.686153E-01   0.383270E+01   0.165305E+07   0.342756E+05
     4   0.936192E+03   0.737235E-01   0.385325E+01   0.216676E+07   0.369694E+05
     5   0.891853E+03   0.622032E-01   0.350720E+01   0.262049E+07   0.380759E+05
     6   0.859985E+03   0.435286E-01   0.300485E+01   0.302132E+07   0.382971E+05
     7   0.838393E+03   0.263321E-01   0.247617E+01   0.337710E+07   0.380275E+05
     8   0.824403E+03   0.148722E-01   0.199714E+01   0.369413E+07   0.374334E+05
     9   0.816339E+03   0.919153E-02   0.160254E+01   0.397794E+07   0.366071E+05
    10   0.812864E+03   0.715535E-02   0.130791E+01   0.423236E+07   0.356471E+05
    11   0.812539E+03   0.650274E-02   0.111556E+01   0.446208E+07   0.346746E+05
    12   0.815821E+03   0.594297E-02   0.101838E+01   0.466802E+07   0.337206E+05
    13   0.820632E+03   0.519819E-02   0.994189E+00   0.485500E+07   0.328600E+05
    14   0.826905E+03   0.451859E-02   0.101470E+01   0.502312E+07   0.320033E+05
    15   0.833511E+03   0.417485E-02   0.106153E+01   0.517593E+07   0.311663E+05
    16   0.842155E+03   0.421217E-02   0.112529E+01   0.531398E+07   0.303067E+05
    17   0.852631E+03   0.448130E-02   0.119401E+01   0.543876E+07   0.294476E+05
    18   0.863748E+03   0.482626E-02   0.125845E+01   0.555202E+07   0.286263E+05
    19   0.876260E+03   0.521865E-02   0.131809E+01   0.565445E+07   0.278400E+05
    20   0.888557E+03   0.566300E-02   0.136640E+01   0.574660E+07   0.270771E+05
    21   0.901328E+03   0.624821E-02   0.141092E+01   0.582957E+07   0.263330E+05
    22   0.914587E+03   0.707560E-02   0.145619E+01   0.590449E+07   0.256065E+05
    23   0.927934E+03   0.813955E-02   0.150440E+01   0.597187E+07   0.249048E+05
    24   0.941679E+03   0.941671E-02   0.155671E+01   0.603215E+07   0.242352E+05
    25   0.955952E+03   0.108889E-01   0.160820E+01   0.608593E+07   0.235988E+05
    26   0.970259E+03   0.125460E-01   0.166395E+01   0.613382E+07   0.229938E+05
    27   0.985008E+03   0.143812E-01   0.172218E+01   0.617632E+07   0.224136E+05
    28   0.100003E+04   0.163729E-01   0.177484E+01   0.621381E+07   0.218522E+05
    29   0.101524E+04   0.185369E-01   0.182477E+01   0.624637E+07   0.213124E+05
    30   0.103085E+04   0.208904E-01   0.186312E+01   0.627410E+07   0.207977E+05
    31   0.104627E+04   0.234086E-01   0.189729E+01   0.629757E+07   0.203040E+05
    32   0.106230E+04   0.260947E-01   0.191940E+01   0.631736E+07   0.198261E+05
    33   0.107842E+04   0.289389E-01   0.192854E+01   0.633369E+07   0.193601E+05
    34   0.109458E+04   0.320010E-01   0.192779E+01   0.634673E+07   0.189033E+05
    35   0.111138E+04   0.352962E-01   0.191212E+01   0.635668E+07   0.184553E+05
    36   0.112789E+04   0.388485E-01   0.189510E+01   0.636378E+07   0.180180E+05
    37   0.114466E+04   0.426520E-01   0.186886E+01   0.636823E+07   0.176011E+05
    38   0.116177E+04   0.466693E-01   0.183284E+01   0.637021E+07   0.172125E+05
    39   0.117913E+04   0.509158E-01   0.178773E+01   0.636985E+07   0.168470E+05
    40   0.119667E+04   0.554223E-01   0.173351E+01   0.636726E+07   0.164959E+05
    41   0.121429E+04   0.602130E-01   0.167019E+01   0.636256E+07   0.161521E+05
    42   0.123201E+04   0.652855E-01   0.159794E+01   0.635588E+07   0.158152E+05
    43   0.124983E+04   0.706303E-01   0.151654E+01   0.634736E+07   0.154862E+05
    44   0.126781E+04   0.762357E-01   0.142419E+01   0.633713E+07   0.151663E+05
    45   0.128603E+04   0.820873E-01   0.131877E+01   0.632531E+07   0.148565E+05
    46   0.130444E+04   0.881739E-01   0.119902E+01   0.631203E+07   0.145576E+05
    47   0.132303E+04   0.945093E-01   0.106522E+01   0.629740E+07   0.142683E+05
    48   0.134177E+04   0.101107E+00   0.918007E+00   0.628149E+07   0.139871E+05
    49   0.136065E+04   0.107978E+00   0.758105E+00   0.626439E+07   0.137124E+05
    50   0.137973E+04   0.115147E+00   0.586371E+00   0.624620E+07   0.134425E+05
    51   0.139906E+04   0.122634E+00   0.403616E+00   0.622700E+07   0.131766E+05
    52   0.141859E+04   0.130433E+00   0.210258E+00   0.620685E+07   0.129158E+05
    53   0.143825E+04   0.138534E+00   0.640611E-02   0.618581E+07   0.126622E+05
    54   0.145800E+04   0.146924E+00  -0.208689E+00   0.616394E+07   0.124178E+05
    55   0.147785E+04   0.155593E+00  -0.436146E+00   0.614129E+07   0.121844E+05
    56   0.149790E+04   0.164528E+00  -0.677529E+00   0.611791E+07   0.119635E+05
    57   0.151827E+04   0.173730E+00  -0.933617E+00   0.609384E+07   0.117537E+05
    58   0.153890E+04   0.183205E+00  -0.120431E+01   0.606913E+07   0.115533E+05
    59   0.155971E+04   0.192961E+00  -0.148923E+01   0.604379E+07   0.113605E+05
    60   0.158068E+04   0.202998E+00  -0.178758E+01   0.601787E+07   0.111734E+05
    61   0.160183E+04   0.213314E+00  -0.209862E+01   0.599139E+07   0.109903E+05
    62   0.162316E+04   0.223906E+00  -0.242226E+01   0.596442E+07   0.108104E+05
    63   0.164469E+04   0.234769E+00  -0.275860E+01   0.593700E+07   0.106327E+05
    64   0.166642E+04   0.245898E+00  -0.310772E+01   0.590918E+07   0.104565E+05
    65   0.168837E+04   0.257291E+00  -0.346975E+01   0.588103E+07   0.102809E+05
    66   0.171059E+04   0.268937E+00  -0.384486E+01   0.585258E+07   0.101056E+05
    67   0.173306E+04   0.280829E+00  -0.423245E+01   0.582388E+07   0.993181E+04
    68   0.175573E+04   0.292956E+00  -0.463176E+01   0.579493E+07   0.976109E+04
    69   0.177856E+04   0.305311E+00  -0.504201E+01   0.576578E+07   0.959512E+04
    70   0.180153E+04   0.317886E+00  -0.546267E+01   0.573644E+07   0.943554E+04
    71   0.182461E+04   0.330676E+00  -0.589352E+01   0.570693E+07   0.928358E+04
    72   0.184791E+04   0.343678E+00  -0.633564E+01   0.567728E+07   0.913888E+04
    73   0.187154E+04   0.356888E+00  -0.679018E+01   0.564747E+07   0.900065E+04
    74   0.189553E+04   0.370295E+00  -0.725725E+01   0.561752E+07   0.886814E+04
    75   0.191985E+04   0.383891E+00  -0.773660E+01   0.558742E+07   0.874057E+04
    76   0.194448E+04   0.397660E+00  -0.822786E+01   0.555719E+07   0.861720E+04
    77   0.196928E+04   0.411594E+00  -0.872959E+01   0.552685E+07   0.849736E+04
    78   0.199425E+04   0.425682E+00  -0.924131E+01   0.549642E+07   0.838043E+04
    79   0.201942E+04   0.439914E+00  -0.976284E+01   0.546591E+07   0.826578E+04
    80   0.204481E+04   0.454279E+00  -0.102941E+02   0.543536E+07   0.815277E+04
    81   0.207045E+04   0.468768E+00  -0.108349E+02   0.540478E+07   0.804087E+04
    82   0.209635E+04   0.483369E+00  -0.113847E+02   0.537419E+07   0.792996E+04
    83   0.212249E+04   0.498070E+00  -0.119431E+02   0.534361E+07   0.782000E+04
    84   0.214887E+04   0.512858E+00  -0.125095E+02   0.531304E+07   0.771097E+04
    85   0.217548E+04   0.527723E+00  -0.130835E+02   0.528251E+07   0.760283E+04
    86   0.220232E+04   0.542653E+00  -0.136645E+02   0.525203E+07   0.749563E+04
    87   0.222935E+04   0.557636E+00  -0.142520E+02   0.522160E+07   0.738970E+04
    88   0.225656E+04   0.572660E+00  -0.148456E+02   0.519125E+07   0.728544E+04
    89   0.228396E+04   0.587713E+00  -0.154450E+02   0.516096E+07   0.718328E+04
    90   0.231155E+04   0.602778E+00  -0.160499E+02   0.513076E+07   0.708360E+04
    91   0.233934E+04   0.617844E+00  -0.166598E+02   0.510066E+07   0.698674E+04
    92   0.236733E+04   0.632895E+00  -0.172746E+02   0.507064E+07   0.689266E+04
    93   0.239554E+04   0.647918E+00  -0.178938E+02   0.504073E+07   0.680127E+04
    94   0.242395E+04   0.662900E+00  -0.185173E+02   0.501092E+07   0.671245E+04
    95   0.245259E+04   0.677827E+00  -0.191444E+02   0.498122E+07   0.662609E+04
    96   0.248144E+04   0.692685E+00  -0.197748E+02   0.495162E+07   0.654209E+04
    97   0.251052E+04   0.707460E+00  -0.204081E+02   0.492215E+07   0.646032E+04
    98   0.253982E+04   0.722137E+00  -0.210438E+02   0.489279E+07   0.638070E+04
    99   0.256932E+04   0.736702E+00  -0.216815E+02   0.486356E+07   0.630310E+04
   100   0.259904E+04   0.751145E+00  -0.223207E+02   0.483445E+07   0.622741E+04
   101   0.262897E+04   0.765451E+00  -0.229609E+02   0.480547E+07   0.615354E+04
   102   0.265912E+04   0.779598E+00  -0.236018E+02   0.477663E+07   0.608136E+04
   103   0.268946E+04   0.793587E+00  -0.242426E+02   0.474793E+07   0.601077E+04
   104   0.272001E+04   0.807389E+00  -0.248830E+02   0.471937E+07   0.594166E+04
   105   0.275074E+04   0.820997E+00  -0.255224E+02   0.469096E+07   0.587392E+04
   106   0.278166E+04   0.834397E+00  -0.261602E+02   0.466269E+07   0.580745E+04
   107   0.281275E+04   0.847582E+00  -0.267959E+02   0.463459E+07   0.574213E+04
   108   0.284401E+04   0.860531E+00  -0.274290E+02   0.460664E+07   0.567785E+04
   109   0.287543E+04   0.873236E+00  -0.280589E+02   0.457885E+07   0.561451E+04
   110   0.290702E+04   0.885677E+00  -0.286852E+02   0.455123E+07   0.555199E+04
   111   0.293875E+04   0.897845E+00  -0.293073E+02   0.452377E+07   0.549021E+04
   112   0.297063E+04   0.909735E+00  -0.299245E+02   0.449649E+07   0.542915E+04
   113   0.300265E+04   0.921323E+00  -0.305364E+02   0.446938E+07   0.536883E+04
   114   0.303481E+04   0.932596E+00  -0.311424E+02   0.444244E+07   0.530925E+04
   115   0.306709E+04   0.943552E+00  -0.317420E+02   0.441568E+07   0.525042E+04
   116   0.309949E+04   0.954178E+00  -0.323347E+02   0.438908E+07   0.519235E+04
   117   0.313202E+04   0.964451E+00  -0.329198E+02   0.436266E+07   0.513505E+04
   118   0.316464E+04   0.974372E+00  -0.334968E+02   0.433642E+07   0.507853E+04
   119   0.319737E+04   0.983925E+00  -0.340652E+02   0.431034E+07   0.502279E+04
   120   0.323018E+04   0.993104E+00  -0.346245E+02   0.428445E+07   0.496785E+04
   121   0.326309E+04   0.100189E+01  -0.351740E+02   0.425872E+07   0.491371E+04
   122   0.329607E+04   0.101029E+01  -0.357133E+02   0.423318E+07   0.486038E+04
   123   0.332911E+04   0.101827E+01  -0.362419E+02   0.420781E+07   0.480787E+04
   124   0.336222E+04   0.102584E+01  -0.367592E+02   0.418261E+07   0.475619E+04
   125   0.339538E+04   0.103300E+01  -0.372646E+02   0.415760E+07   0.470534E+04
   126   0.342858E+04   0.103971E+01  -0.377577E+02   0.413276E+07   0.465534E+04
   127   0.346181E+04   0.104600E+01  -0.382379E+02   0.410810E+07   0.460620E+04
   128   0.349507E+04   0.105183E+01  -0.387048E+02   0.408362E+07   0.455792E+04
   129   0.352835E+04   0.105722E+01  -0.391578E+02   0.405932E+07   0.451051E+04
   130   0.356164E+04   0.106215E+01  -0.395964E+02   0.403520E+07   0.446398E+04
   131   0.359492E+04   0.106661E+01  -0.400201E+02   0.401126E+07   0.441834E+04
   132   0.362821E+04   0.107061E+01  -0.404285E+02   0.398750E+07   0.437355E+04
   133   0.366147E+04   0.107414E+01  -0.408210E+02   0.396392E+07   0.432960E+04
   134   0.369472E+04   0.107720E+01  -0.411972E+02   0.394051E+07   0.428645E+04
   135   0.372793E+04   0.107978E+01  -0.415567E+02   0.391728E+07   0.424407E+04
   136   0.376111E+04   0.108188E+01  -0.418989E+02   0.389423E+07   0.420245E+04
   137   0.379425E+04   0.108350E+01  -0.422234E+02   0.387135E+07   0.416154E+04
   138   0.382734E+04   0.108464E+01  -0.425299E+02   0.384865E+07   0.412132E+04
   139   0.386036E+04   0.108530E+01  -0.428179E+02   0.382612E+07   0.408176E+04
   140   0.389332E+04   0.108547E+01  -0.430869E+02   0.380376E+07   0.404284E+04
   141   0.392621E+04   0.108517E+01  -0.433368E+02   0.378157E+07   0.400452E+04
   142   0.395902E+04   0.108440E+01  -0.435669E+02   0.375955E+07   0.396677E+04
   143   0.399174E+04   0.108314E+01  -0.437769E+02   0.373770E+07   0.392958E+04
