#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105231E-04   0.120091E+08   0.120091E+08   0.160075E+08   0.160073E+08   0.000000E+00   0.120091E+08   0.120091E+08   0.120185E+08  -0.574062E+00   0.105418E+08   0.105418E+08   0.886907E+01
   0.116199E-04   0.120091E+08   0.120091E+08   0.160065E+08   0.160063E+08   0.000000E+00   0.120091E+08   0.120091E+08   0.120184E+08  -0.574062E+00   0.105418E+08   0.105418E+08   0.979322E+01
   0.128309E-04   0.120091E+08   0.120091E+08   0.160052E+08   0.160050E+08   0.000000E+00   0.120091E+08   0.120091E+08   0.120184E+08  -0.574061E+00   0.105418E+08   0.105418E+08   0.108136E+02
   0.141682E-04   0.120091E+08   0.120091E+08   0.160037E+08   0.160034E+08   0.000000E+00   0.120091E+08   0.120091E+08   0.120184E+08  -0.574061E+00   0.105418E+08   0.105418E+08   0.119402E+02
   0.156449E-04   0.120091E+08   0.120091E+08   0.160018E+08   0.160015E+08   0.000000E+00   0.120091E+08   0.120091E+08   0.120184E+08  -0.574061E+00   0.105418E+08   0.105418E+08   0.131842E+02
   0.172754E-04   0.120091E+08   0.120091E+08   0.159996E+08   0.159992E+08   0.000000E+00   0.120091E+08   0.120091E+08   0.120184E+08  -0.574060E+00   0.105417E+08   0.105417E+08   0.145575E+02
   0.190759E-04   0.120091E+08   0.120091E+08   0.159968E+08   0.159963E+08   0.000000E+00   0.120091E+08   0.120091E+08   0.120184E+08  -0.574060E+00   0.105417E+08   0.105417E+08   0.160738E+02
   0.210641E-04   0.120091E+08   0.120091E+08   0.159935E+08   0.159928E+08   0.000000E+00   0.120091E+08   0.120091E+08   0.120184E+08  -0.574059E+00   0.105417E+08   0.105417E+08   0.177478E+02
   0.232595E-04   0.120090E+08   0.120090E+08   0.159894E+08   0.159886E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574058E+00   0.105417E+08   0.105417E+08   0.195958E+02
   0.256837E-04   0.120090E+08   0.120090E+08   0.159844E+08   0.159834E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574057E+00   0.105417E+08   0.105417E+08   0.216358E+02
   0.283605E-04   0.120090E+08   0.120090E+08   0.159783E+08   0.159772E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120183E+08  -0.574056E+00   0.105417E+08   0.105417E+08   0.238875E+02
   0.313163E-04   0.120090E+08   0.120090E+08   0.159709E+08   0.159695E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120183E+08  -0.574055E+00   0.105417E+08   0.105417E+08   0.263729E+02
   0.345802E-04   0.120090E+08   0.120090E+08   0.159618E+08   0.159602E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120183E+08  -0.574053E+00   0.105416E+08   0.105416E+08   0.291158E+02
