k,P0_FKP_map0_tracer0,P0_MT_map0_tracer0,P2_FKP_map0_tracer0,P2_MT_map0_tracer0,P4_FKP_map0_tracer0,P4_MT_map0_tracer0
0.005,80080545.57090893,80080534.48027518,10351328.152408615,10351319.931626476,-151900617.69186825,-151900599.89917138
0.01,11710184.66962867,11710185.093149811,16076646.293956017,16076646.497968828,-18675261.69341921,-18675270.06110584
0.015000000000000001,3963514.344505893,3963515.9818701637,3345740.5822314103,3345741.5994182504,21017254.65217182,21017257.40723944
0.02,800400.762495626,800400.2102520415,658202.9856614575,658201.0753424198,3712087.0084840553,3712084.768724124
0.025000000000000005,383523.6967743727,383523.50285991,181539.30550923513,181539.33025557818,1664176.0634513022,1664174.6661138744
0.03000000000000001,155066.59392698374,155066.59528668714,119926.13071070738,119925.92064687746,849414.7517646642,849414.2585437568
0.035,87316.03281913762,87316.00365539697,36335.06124914818,36334.99698164027,327500.32113234093,327500.3010750414
0.04,50049.03602206585,50049.03646131607,23777.597575187174,23777.768108551292,269681.17833252397,269681.1030864841
0.045000000000000005,24270.862312074878,24270.867974418543,24242.538423260557,24242.572161914624,152505.7197873985,152505.84409786575
0.05000000000000001,21118.155530457057,21118.147347925,16664.883577137967,16664.849251259348,104174.56189737326,104174.4712799731
0.055000000000000014,13503.279850805919,13503.280136461219,8007.430902206083,8007.396610141416,72634.19549769581,72634.19971198753
0.060000000000000005,10973.385109718372,10973.40381532893,4643.245772188849,4643.251554738449,61184.66197678193,61184.71205468294
0.065,7358.15409646901,7358.161268432227,6458.533278574333,6458.531293519113,37644.361945683435,37644.38424164705
0.07,6049.863199399419,6049.86511102356,3672.182541230168,3672.207758158348,31825.092864845188,31825.1342266556
0.075,5387.465616493138,5387.467995092058,1435.273465686764,1435.2805709937538,25867.069027889578,25867.083763972667
